Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
02-Dec-2024,"95,407.00","95,415.00","98,193.00","94,395.00","97,378.66","340,829","-2,420.00"
01-Dec-2024,"97,827.00","97,828.00","97,889.33","95,758.00","96,886.32","278,067","+1,000.00"
30-Nov-2024,"96,827.00","96,830.00","97,562.47","96,120.00","97,464.46","278,067",-622.00
29-Nov-2024,"97,449.00","97,467.00","98,735.00","95,022.98","95,136.00","278,067","+2,313.00"
28-Nov-2024,"95,136.00","95,137.00","96,668.65","94,667.73","96,412.00","290,556","-1,276.00"
27-Nov-2024,"96,412.00","96,416.00","97,364.02","91,399.31","91,654.00","300,383","+4,759.00"
26-Nov-2024,"91,653.00","91,667.00","95,039.25","90,638.12","93,723.00","325,230","-2,032.41"
25-Nov-2024,"93,685.41","93,717.91","98,965.00","93,523.72","95,926.00","330,860","-3,363.59"
24-Nov-2024,"97,049.00","97,050.00","98,665.00","95,714.53","98,074.00","288,785","-1,027.00"
23-Nov-2024,"98,076.00","98,077.00","99,602.15","97,151.92","99,402.00","288,785","-1,319.00"
22-Nov-2024,"99,395.00","99,415.00","99,830.00","97,136.89","98,081.00","288,785","+1,314.00"
21-Nov-2024,"98,081.00","98,083.00","99,057.00","93,833.12","94,413.31","310,993","+3,620.00"
20-Nov-2024,"94,461.00","94,462.00","94,982.37","91,399.00","92,314.00","294,175","+2,218.98"
19-Nov-2024,"92,242.02","92,243.00","94,078.22","90,286.32","91,360.00","323,388",+893.02
18-Nov-2024,"91,349.00","91,367.00","92,649.99","86,807.03","90,571.00","371,185","+2,219.00"
17-Nov-2024,"89,130.00","89,131.00","91,429.00","89,006.00","91,045.00","377,826","-1,915.00"
16-Nov-2024,"91,045.00","91,046.00","91,918.86","90,093.64","91,750.00","377,826",-705.00
15-Nov-2024,"91,750.00","91,751.00","91,878.00","86,660.91","88,218.00","377,826","+3,533.00"
14-Nov-2024,"88,217.00","88,233.00","91,800.00","86,857.23","88,640.00","390,079",-422.00
13-Nov-2024,"88,639.00","88,645.00","93,480.00","86,233.12","88,308.00","342,375",+330.00
12-Nov-2024,"88,309.00","88,310.00","89,998.00","84,500.01","88,029.00","380,228",+280.00
11-Nov-2024,"88,029.00","88,030.00","88,479.00","78,526.00","80,421.00","356,270","+8,112.00"
10-Nov-2024,"79,917.00","79,918.00","81,099.00","76,390.00","76,476.00","335,171","+3,441.00"
09-Nov-2024,"76,476.00","76,477.00","76,820.45","75,750.00","76,532.00","335,171",-56.00
08-Nov-2024,"76,532.00","76,533.00","77,303.97","75,543.32","75,968.00","335,171",+564.00
07-Nov-2024,"75,968.00","75,969.00","76,980.00","74,479.00","75,985.00","316,020",-16.00
06-Nov-2024,"75,984.00","75,995.00","76,499.99","68,839.30","69,162.00","314,219","+6,829.72"
05-Nov-2024,"69,154.28","69,159.48","70,538.28","66,999.99","67,059.00","270,323","+2,077.28"
04-Nov-2024,"67,077.00","67,078.00","69,446.99","66,776.19","68,326.00","284,895","-2,036.00"
03-Nov-2024,"69,113.00","69,114.00","69,512.25","67,455.04","69,415.59","263,649",-391.51
02-Nov-2024,"69,504.51","69,505.50","69,886.00","68,805.81","69,198.00","263,649",+306.51
01-Nov-2024,"69,198.00","69,199.00","71,604.17","68,699.07","69,927.00","263,649",-729.00
31-Oct-2024,"69,927.00","69,928.00","72,930.00","69,458.37","72,843.00","299,742","-2,916.00"
30-Oct-2024,"72,843.00","72,844.00","72,954.58","71,397.00","72,311.00","311,260",+532.89
29-Oct-2024,"72,310.11","72,317.66","73,609.88","69,484.85","69,626.00","259,066","+2,685.11"
28-Oct-2024,"69,625.00","69,630.00","69,876.03","67,425.46","67,673.00","257,066","+1,948.00"
27-Oct-2024,"67,677.00","67,678.00","67,887.00","66,847.00","67,158.58","277,174",+504.00
26-Oct-2024,"67,173.00","67,174.00","67,352.00","65,498.45","66,766.00","277,174",+407.00
25-Oct-2024,"66,766.00","66,793.00","68,799.40","65,814.07","68,147.00","277,174","-1,381.00"
24-Oct-2024,"68,147.00","68,148.00","68,289.00","66,283.79","66,585.00","244,243","+1,562.00"
23-Oct-2024,"66,585.00","66,587.00","67,803.58","65,152.00","67,482.00","249,234",-895.00
22-Oct-2024,"67,480.00","67,484.00","67,897.51","66,553.04","67,724.66","259,808",-245.00
21-Oct-2024,"67,725.00","67,726.00","69,487.00","66,578.88","68,542.00","264,650","-1,028.00"
20-Oct-2024,"68,753.00","68,754.00","68,881.00","67,987.34","68,238.00","247,816",+515.00
19-Oct-2024,"68,238.00","68,240.00","68,667.33","67,922.32","68,416.00","247,816",-178.00
18-Oct-2024,"68,416.00","68,417.00","68,999.99","66,915.39","66,927.00","247,814","+1,489.00"
17-Oct-2024,"66,927.00","66,928.00","67,926.31","66,501.20","67,613.00","253,027",-686.00
16-Oct-2024,"67,613.00","67,622.00","68,386.00","66,120.22","66,452.00","270,637","+1,151.00"
15-Oct-2024,"66,462.00","66,483.00","67,919.00","64,732.71","65,906.00","256,924",+556.00
14-Oct-2024,"65,906.00","65,907.00","66,263.00","62,172.24","62,500.00","233,900","+3,164.00"
13-Oct-2024,"62,742.00","62,743.00","63,347.00","61,937.54","63,026.00","230,408",-288.51
12-Oct-2024,"63,030.51","63,031.50","63,461.00","62,341.35","62,990.00","230,408",+40.51
11-Oct-2024,"62,990.00","62,991.00","63,412.77","59,558.36","59,733.00","230,408","+3,269.98"
10-Oct-2024,"59,720.02","59,732.00","61,250.77","58,798.00","60,373.00","281,547",-651.98
09-Oct-2024,"60,372.00","60,380.00","62,517.34","60,234.29","62,352.00","291,763","-1,980.00"
08-Oct-2024,"62,352.00","62,353.00","63,359.77","61,734.62","63,012.00","311,420",-649.00
07-Oct-2024,"63,001.00","63,014.00","64,452.69","62,192.74","62,589.31","1,613,367",+412.30
06-Oct-2024,"62,588.70","62,642.90","63,033.00","61,572.57","61,722.00","249,660",+866.70
05-Oct-2024,"61,722.00","61,723.00","62,461.48","61,570.85","62,402.00","249,660",-681.00
04-Oct-2024,"62,403.00","62,407.00","62,478.88","60,434.85","60,775.00","249,660","+1,629.00"
03-Oct-2024,"60,774.00","60,783.00","61,468.62","59,765.58","60,900.00","274,316",-134.00
02-Oct-2024,"60,908.00","60,916.00","62,361.43","59,860.62","60,784.00","276,085",+127.00
01-Oct-2024,"60,781.00","60,785.00","64,110.67","60,146.00","63,782.00","255,733","-3,001.00"
30-Sep-2024,"63,782.00","63,792.00","66,070.00","62,947.64","65,830.00","262,390","-2,041.26"
29-Sep-2024,"65,823.26","65,824.24","66,070.00","65,291.12","65,662.49","257,906",+160.75
28-Sep-2024,"65,662.51","65,663.49","66,255.00","65,345.36","65,809.00","257,906",-147.49
27-Sep-2024,"65,810.00","65,812.00","66,476.00","64,514.62","64,676.74","257,906","+1,133.26"
26-Sep-2024,"64,676.74","64,676.75","65,833.73","62,571.48","63,493.00","248,336","+1,184.74"
25-Sep-2024,"63,492.00","63,494.00","64,799.00","62,890.49","64,211.00","228,942",-737.00
24-Sep-2024,"64,229.00","64,230.00","64,602.88","62,705.52","63,302.00","234,322",+928.00
23-Sep-2024,"63,301.00","63,302.00","64,730.00","62,255.58","62,955.00","270,338",+88.00
22-Sep-2024,"63,213.00","63,218.00","63,558.00","62,414.70","63,147.00","265,258",+62.45
21-Sep-2024,"63,150.55","63,151.54","63,400.42","62,710.50","62,816.00","265,258",+334.55
20-Sep-2024,"62,816.00","62,820.00","64,129.45","62,233.36","63,043.00","265,258",-218.00
19-Sep-2024,"63,034.00","63,052.00","63,883.69","60,060.30","60,232.00","250,539","+2,813.00"
18-Sep-2024,"60,221.00","60,252.00","61,331.06","59,173.00","60,129.00","250,852",+101.16
17-Sep-2024,"60,119.84","60,145.80","61,336.01","57,564.34","57,670.00","249,883","+2,446.84"
16-Sep-2024,"57,673.00","57,676.00","60,147.12","57,405.94","59,983.00","261,411","-2,128.00"
15-Sep-2024,"59,801.00","59,806.00","60,385.00","59,621.92","60,030.00","232,364",-229.00
14-Sep-2024,"60,030.00","60,031.00","60,656.00","59,466.00","59,868.00","232,364",+162.00
13-Sep-2024,"59,868.00","59,869.00","60,020.80","57,629.56","58,196.00","232,364","+1,672.00"
12-Sep-2024,"58,196.00","58,197.00","58,553.90","57,110.46","57,487.00","245,295",+710.00
