Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
2014-07-18,629.7,631.84,632.8,618.46,622.73,4986.0,6.69
2014-07-19,627.53,630.0,632.06,624.95,629.71,3889.0,-2.17
2014-07-20,624.66,626.99,628.89,619.99,628.88,1891.0,-2.87
2014-07-21,620.0,622.23,625.31,615.04,624.49,4099.0,-4.66
2014-07-22,619.01,619.99,624.98,618.45,620.12,3506.0,-0.99
2014-07-23,619.01,620.99,622.99,615.65,619.01,2623.0,0.0
2014-07-24,603.0,603.97,621.47,591.5,619.01,5970.0,-16.01
2014-07-25,600.83,602.83,609.56,592.95,601.66,4827.0,-2.17
2014-07-26,595.05,596.22,602.9,590.0,602.9,4131.0,-5.78
2014-07-27,591.79,593.66,602.82,589.3,595.12,3261.0,-3.26
2014-07-28,587.73,589.97,594.73,570.5,591.8,6012.0,-4.06
2014-07-29,583.22,585.95,591.15,578.0,586.54,5195.0,-4.51
2014-07-30,561.24,563.36,585.86,557.4,583.23,6180.0,-21.98
2014-07-31,582.03,584.68,589.08,555.9,561.3,7535.0,20.79
2014-08-01,596.76,598.2,606.97,581.77,582.04,5958.0,14.73
2014-08-02,588.91,592.44,598.6,584.95,596.76,4246.0,-7.85
2014-08-03,588.73,588.91,591.0,578.24,588.47,3570.0,-0.18
2014-08-04,588.3,588.36,595.69,581.8,586.94,4864.0,-0.43
2014-08-05,580.35,581.76,588.98,578.25,588.3,3506.0,-7.95
2014-08-06,581.17,582.73,586.35,576.44,580.35,2964.0,0.82
2014-08-07,585.01,586.06,591.89,579.0,581.16,3419.0,3.84
2014-08-08,588.02,588.9,594.99,583.9,584.8,8940.0,3.01
2014-08-09,587.79,589.63,590.53,585.2,588.6,4885.0,-0.23
2014-08-10,588.75,590.99,596.99,586.0,587.62,4546.0,0.96
2014-08-11,572.7,573.98,590.98,571.07,588.75,7111.0,-16.05
2014-08-12,567.18,568.8,573.48,561.9,572.7,7380.0,-5.52
2014-08-13,548.8,548.81,571.99,524.55,567.31,9842.0,-18.38
2014-08-14,507.02,507.99,549.99,497.01,548.8,9052.0,-41.78
2014-08-15,500.21,502.24,520.84,481.55,507.02,10642.0,-6.81
2014-08-16,521.97,523.04,529.69,485.01,500.25,10307.0,21.76
2014-08-17,497.65,498.0,524.5,485.39,521.97,7806.0,-24.32
2014-08-18,472.83,474.46,510.0,441.99,496.86,12024.0,-24.82
2014-08-19,491.54,491.97,493.8,453.01,472.41,10321.0,18.71
2014-08-20,516.39,519.43,527.01,465.99,491.54,10587.0,24.85
2014-08-21,519.28,520.78,533.99,510.76,516.39,9720.0,2.89
2014-08-22,513.06,514.65,526.85,500.01,519.29,8757.0,-6.22
2014-08-23,494.56,496.79,514.68,486.99,513.09,8343.0,-18.5
