Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
2018-12-03,108.35,108.52,119.79,104.58,117.7,50124.0,-6.9
2018-12-04,108.71,109.01,114.71,104.36,109.79,46762.0,0.36
2018-12-05,101.71,101.72,111.26,100.77,108.75,40447.0,-7.0
2018-12-06,95.05,95.19,105.39,93.75,103.9,49320.0,-6.66
2018-12-07,92.89,93.0,107.0,81.12,95.08,67040.0,-2.16
2018-12-08,92.89,93.0,107.0,81.12,95.08,67040.0,0.0
2018-12-09,92.89,93.0,107.0,81.12,95.08,67040.0,0.0
2018-12-10,89.06,89.07,99.37,87.35,94.91,54647.0,-3.83
2018-12-11,87.89,88.05,94.11,84.92,89.04,43312.0,-1.17
2018-12-12,89.99,90.0,93.95,85.85,87.89,39817.0,2.1
2018-12-13,84.33,84.42,92.92,83.54,89.84,37279.0,-5.66
2018-12-14,81.77,81.97,88.44,80.73,84.3,43528.0,-2.56
2018-12-15,81.77,81.97,88.44,80.73,84.3,43528.0,0.0
2018-12-16,81.77,81.97,88.44,80.73,84.3,43528.0,0.0
2018-12-17,93.88,94.01,100.19,83.14,85.07,53842.0,12.11
2018-12-18,93.82,93.94,98.92,91.2,93.89,46756.0,-0.06
2018-12-19,98.81,99.03,110.87,93.62,93.82,58669.0,4.99
2018-12-20,114.08,114.24,120.45,97.88,98.81,62042.0,15.27
2018-12-21,107.84,108.15,122.62,104.9,114.08,69276.0,-6.24
2018-12-22,107.84,108.15,122.62,104.9,114.08,69276.0,0.0
2018-12-23,107.84,108.15,122.62,104.9,114.08,69276.0,0.0
2018-12-24,142.14,142.37,163.29,126.55,128.29,82557.0,34.3
2018-12-25,135.0,135.01,148.5,121.26,142.14,70848.0,-7.14
2018-12-26,132.7,132.76,141.33,123.19,130.52,60357.0,-2.3
2018-12-27,115.4,115.57,136.2,112.86,128.47,61096.0,-17.3
2018-12-28,134.46,134.68,143.34,111.94,115.56,60006.0,19.06
2018-12-29,134.46,134.68,143.34,111.94,115.56,60006.0,0.0
2018-12-30,134.46,134.68,143.34,111.94,115.56,60006.0,0.0
2018-12-31,135.2,135.21,145.14,128.13,136.55,61797.0,0.74
2019-01-01,143.35,143.36,148.0,127.8,129.97,47404.0,8.15
2019-01-02,154.41,154.73,162.4,135.81,143.35,55817.0,11.06
2019-01-03,147.98,148.12,163.0,144.17,154.44,49032.0,-6.43
2019-01-04,153.85,154.2,161.0,144.76,147.56,47975.0,5.87
2019-01-05,153.85,154.2,161.0,144.76,147.56,47975.0,0.0
2019-01-06,153.85,154.2,161.0,144.76,147.56,47975.0,0.0
2019-01-07,150.56,150.65,163.46,149.3,157.6,50773.0,-3.29
2019-01-08,153.04,153.05,157.27,145.92,150.56,44505.0,2.48
2019-01-09,152.78,152.79,160.01,147.78,153.04,39623.0,-0.26
2019-01-10,126.91,127.17,154.34,121.65,149.32,55129.0,-25.87
2019-01-11,128.01,128.08,131.78,121.02,126.92,52787.0,1.1
2019-01-12,128.01,128.08,131.78,121.02,126.92,52787.0,0.0
2019-01-13,128.01,128.08,131.78,121.02,126.92,52787.0,0.0
2019-01-14,127.9,128.16,134.36,112.14,115.92,54083.0,-0.11
2019-01-15,120.29,120.3,133.31,115.96,127.89,42869.0,-7.61
2019-01-16,122.29,122.32,129.59,117.32,120.29,46173.0,2.0
2019-01-17,124.28,124.29,126.28,116.5,122.31,43347.0,1.99
2019-01-18,119.46,119.72,126.35,117.45,121.48,36024.0,-4.82
2019-01-19,119.46,119.72,126.35,117.45,121.48,36024.0,0.0
2019-01-20,119.46,119.72,126.35,117.45,121.48,36024.0,0.0
2019-01-21,116.71,116.72,120.0,112.81,116.97,43896.0,-2.75
2019-01-22,117.65,117.7,121.81,110.6,115.04,38617.0,0.94
2019-01-23,116.25,116.37,121.13,114.69,117.55,32894.0,-1.4
2019-01-24,116.4,116.59,119.99,113.18,116.25,33194.0,0.15
