Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
02-Dec-2024,"3,616.50","3,616.90","3,762.20","3,555.00","3,724.80","343,299",-91.70
01-Dec-2024,"3,708.20","3,708.80","3,748.00","3,660.40","3,722.50","282,648",-13.80
30-Nov-2024,"3,722.00","3,722.10","3,735.03","3,569.20","3,592.30","282,648",+128.40
29-Nov-2024,"3,593.60","3,594.20","3,649.20","3,536.24","3,572.09","282,648",+21.38
28-Nov-2024,"3,572.22","3,572.23","3,688.20","3,530.20","3,637.70","288,542",-65.48
27-Nov-2024,"3,637.70","3,638.40","3,649.90","3,300.20","3,322.30","292,371",+315.50
26-Nov-2024,"3,322.20","3,323.70","3,472.89","3,253.10","3,436.00","322,822",-116.50
25-Nov-2024,"3,438.70","3,438.90","3,546.20","3,301.21","3,311.40","332,319",+91.30
24-Nov-2024,"3,347.40","3,347.90","3,453.10","3,284.90","3,420.90","299,142",-73.60
23-Nov-2024,"3,421.00","3,421.40","3,500.40","3,304.04","3,319.80","299,142",+101.40
22-Nov-2024,"3,319.60","3,320.70","3,428.99","3,261.80","3,348.60","299,142",-29.00
21-Nov-2024,"3,348.60","3,349.00","3,389.90","3,034.40","3,080.50","300,613",+268.10
20-Nov-2024,"3,080.50","3,080.90","3,161.40","3,030.76","3,095.80","302,129",-14.56
19-Nov-2024,"3,095.06","3,096.05","3,225.50","3,070.20","3,149.32","337,861",-55.04
18-Nov-2024,"3,150.10","3,150.73","3,200.33","3,042.50","3,106.50","355,935",+88.40
17-Nov-2024,"3,061.70","3,063.60","3,166.12","3,038.22","3,156.30","367,261",-94.40
16-Nov-2024,"3,156.10","3,156.38","3,219.50","3,072.20","3,091.50","367,261",+64.60
15-Nov-2024,"3,091.50","3,091.90","3,131.77","3,013.88","3,118.90","367,261",-27.40
14-Nov-2024,"3,118.90","3,119.90","3,242.30","3,059.70","3,154.00","383,332",-35.10
13-Nov-2024,"3,154.00","3,154.10","3,338.90","3,119.90","3,281.10","323,952",-126.60
12-Nov-2024,"3,280.60","3,281.30","3,445.20","3,207.04","3,327.01","330,312",-47.50
11-Nov-2024,"3,328.10","3,330.10","3,374.15","3,070.70","3,213.40","363,675",+157.00
